scan_variable,scan_cut,muIsoCut,egmIsoCut,fixed_mu_iso,fixed_egm_iso,dPhiCut,mJJCut,pixelCut,signal_name,sig_A,sig_B,sig_C,sig_D,signalEff,AsimovSig,ACounts,BCounts,CCounts,DCounts,A_Unc,B_Unc,C_Unc,D_Unc,prediction,predictionUnc,closure,closureUnc,closureSignificance,tf_AC,tf_AC_unc,tf_BD,tf_BD_unc,tf_ratio
egm,0.0,0.4,0.0,0.4,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,0.341353734439834,0.031032157676348548,18.960648340248962,0.12412863070539419,0.01754385964912281,0.7988084228638983,0.09738617884141444,2.089992551290215,1705.127276009347,3861.771813792891,0.09240670314442745,1.1484257377760336,275.5592613991974,379.14650599164946,0.9228156084036386,0.5362605288596982,9.475837530358078,10.543523588483044,-1.516876486356932,5.711372999048817e-05,5.49738125491195e-05,0.0005412004261426054,0.00030209273231981043,0.10553156877123153
egm,0.01,0.4,0.01,0.4,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,1.5516078838174274,0.031032157676348548,17.75039419087137,0.12412863070539419,0.07974481658692187,0.3366047009081594,20.737302645993715,15.15640260510727,1684.4873595421946,3848.705403739074,9.592515889823057,8.08195780198981,275.3922633640486,379.0620976112462,6.6335990745438895,3.7570449998130133,0.3198872672972948,0.23392142472688782,1.3690222685500215,0.01231074993143887,0.006039823220720792,0.0039380521539483385,0.002135435273377611,3.126101293274129
egm,0.02,0.4,0.02,0.4,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,4.127276970954357,0.062064315352697096,15.17472510373444,0.09309647302904564,0.21212121212121213,0.5066438333230688,65.00072674779508,39.08221300674042,1640.2239354403932,3824.7795933374414,34.52284927439495,10.40585414620562,273.3881635328191,379.00542223936446,16.76007196213357,5.520467758797098,0.257844378066159,0.1611425298636066,1.379824369465438,0.039629178274576675,0.0220597623870658,0.010218160825481163,0.0029029511536473873,3.878308332723915
egm,0.03,0.4,0.03,0.4,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,6.051270746887967,0.062064315352697096,13.25073132780083,0.09309647302904564,0.31100478468899523,0.6586098372559831,82.42510764273561,96.37083056369055,1622.7995545454526,3767.4909757804908,35.21356220480055,18.209352793846726,273.3000551019312,378.71072252866077,41.51052833710736,11.305023068823173,0.503615094044294,0.2551523258435984,1.106285007686735,0.05079192153575797,0.023324433992708726,0.025579578340921155,0.005474677504634883,1.9856434245635375
egm,0.04,0.4,0.04,0.4,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,8.006296680497925,0.09309647302904564,11.295705394190872,0.062064315352697096,0.41148325358851673,0.7474809812480092,112.08830966231103,142.0648934670056,1593.1363525258776,3721.7969128771765,37.7069114385859,23.184440874777046,272.96722131353545,378.43873161804544,60.81168626286937,15.661740432742736,0.5425337079850434,0.2298555752914643,1.2558518969308292,0.07035700960849825,0.026561482679760603,0.03817104930563789,0.007339584135687598,1.8432034457618767
egm,0.05,0.4,0.05,0.4,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,9.806161825726141,0.12412863070539419,9.495840248962656,0.031032157676348548,0.503987240829346,0.8692287903658988,124.04396106589363,186.27581666449106,1581.1807011222947,3677.5859896796906,38.10087297546333,27.527088228041055,272.9125108168873,378.1476580663124,80.08941931534316,19.97450456647491,0.6456535136990563,0.2554590477636775,1.0217408284001332,0.07845021190674119,0.027640299271596936,0.05065165496802299,0.009118804535447366,1.548818334884966
egm,0.06,0.4,0.06,0.4,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,11.295705394190872,0.12412863070539419,8.006296680497925,0.031032157676348548,0.580542264752791,0.982117813908561,128.56937943561508,243.24576089436624,1576.6552827525734,3620.6160454498154,38.23510373408639,43.753022101802024,272.89373742230447,376.61527444370904,105.92526495684383,28.6452874973583,0.8238763025988551,0.331165596270058,0.47397154007384446,0.08154564973210549,0.02805907513460187,0.0671835283943084,0.013959616894797687,1.2137744426506454
egm,0.07,0.4,0.07,0.4,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,12.41286307053942,0.12412863070539419,6.889139004149378,0.031032157676348548,0.6379585326953747,1.0745306968049892,129.3719605886858,265.82399636417983,1575.8527015995026,3598.0378099800005,38.240938245166056,45.10115669782084,272.89291988616964,376.4562093416307,116.42441934838854,30.741742977443288,0.8999200353663839,0.3566849122522337,0.26388274880072426,0.0820964805006028,0.02812464167629549,0.07388026763555812,0.014726736624124794,1.111209841653176
egm,0.08,0.4,0.08,0.4,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,13.43692427385892,0.15516078838174274,5.865077800829876,0.0,0.6905901116427432,1.1159173047452147,140.57858542559157,319.5566617433449,1564.6460767625967,3544.3051446008367,39.067243877882134,56.47047256862885,272.77585218940493,374.91929480253054,141.06942170646158,38.06553930602878,1.0034915437467524,0.3887042482402652,-0.008998622480271556,0.0898468909444762,0.029475207752564042,0.09016059529471852,0.018569094891087372,0.9965206047141006
egm,0.09,0.4,0.09,0.4,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,14.212728215767635,0.15516078838174274,5.089273858921162,0.0,0.7304625199362041,0.9690367030654676,210.43099745836784,336.7206098767165,1494.7936647298209,3527.1411964674644,60.64010177281849,57.12729202835166,268.8041910738228,374.8197758828348,142.70135681888067,38.4007882069145,0.6781384802736252,0.2673764723128335,0.943620752530902,0.14077594949962713,0.04781830432768802,0.09546558845275377,0.01911137216497424,1.4746250641852756
