scan_variable,scan_cut,muIsoCut,egmIsoCut,fixed_mu_iso,fixed_egm_iso,dPhiCut,mJJCut,pixelCut,signal_name,sig_A,sig_B,sig_C,sig_D,signalEff,AsimovSig,ACounts,BCounts,CCounts,DCounts,A_Unc,B_Unc,C_Unc,D_Unc,prediction,predictionUnc,closure,closureUnc,closureSignificance,tf_AC,tf_AC_unc,tf_BD,tf_BD_unc,tf_ratio
mu,0.0,0.0,0.4,0.24,0.4,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,1.1171576763485478,17.005622406639006,0.12412863070539419,1.2102541493775933,0.05741626794258373,3.3686912225206753,0.002601254145426209,2142.3000889312098,0.6660902792728509,3426.117688067742,0.0026012528776918815,282.0169510716454,0.6608980106962666,374.3692154605225,0.416496277840129,0.4193478234857181,160.1136430949876,227.2112971019357,-0.9869779637505751,0.0039052576300406512,0.005501383294563665,0.6252850263703059,0.10697567650512194,0.006245563967380025
mu,0.01,0.01,0.4,0.24,0.4,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,2.2963796680497923,15.82640041493776,0.24825726141078838,1.0861255186721992,0.11802232854864432,0.6184719121251169,13.041621631307136,2129.2610685540476,1.421917008384357,3425.3618613386307,6.158301253933771,281.9497047776059,0.9391974434158021,374.3686207187643,0.8838869150847766,0.6032223363609434,0.06777431059362718,0.05624595943277136,1.9647992978284816,9.171858522267474,7.4470536983420565,0.6216163882089623,0.10672842893976768,14.754853147765253
mu,0.02,0.02,0.4,0.24,0.4,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,4.437598547717842,13.68518153526971,0.4034180497925311,0.9309647302904565,0.22807017543859648,1.110015520001187,14.569078314456114,2127.733611870899,117.63934626591586,3309.1444320810992,6.229716202469241,281.9481358947954,115.93875284250657,355.9648182897179,75.64045518892424,75.65662067863762,5.191849035080708,5.647595829546568,-0.8044951663527711,0.12384528456596221,0.13304796846509945,0.6429860211730866,0.10974263307981956,0.19260960656658518
mu,0.03,0.03,0.4,0.24,0.4,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,6.4546887966804976,11.668091286307053,0.5585788381742739,0.7758039419087137,0.33173843700159494,0.5392454774705299,141.14186305486137,2001.160827130494,118.42938311928343,3308.3543952277314,116.37505742730028,256.8859799742016,115.94067698392008,355.9641915856397,71.63568770667499,71.14936212745329,0.5075438722162143,0.6551663160514772,0.509570235592755,1.1917807839351968,1.5254120307886163,0.6048810339113454,0.10131580114624986,1.9702730241495232
mu,0.04,0.04,0.4,0.24,0.4,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,8.720036307053942,9.40274377593361,0.8068360995850622,0.5275466804979253,0.44816586921850077,0.7262407939372717,141.2925239955347,2001.0101661898211,169.73443926383345,3257.049339083181,116.3751013673144,256.88596006839424,120.9568112417118,354.29111770540425,104.2785365403964,76.35482693329918,0.7380329375649906,0.813357750270277,0.265928525502624,0.8324328557500996,0.9066361047013957,0.6143628658548601,0.103376149633443,1.3549530774321854
mu,0.05,0.05,0.4,0.24,0.4,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,10.644030082987552,7.47875,0.8378682572614108,0.49651452282157676,0.5470494417862838,0.8591587966410419,149.97739957858565,1992.3252906067698,170.45885282795868,3256.324925519056,116.61090076970667,256.77900716411955,120.95862380477779,354.29049888186665,104.29225929989953,76.06827238546605,0.6953865021859652,0.7413392921041092,0.32813143485254503,0.8798451772402538,0.926173581270508,0.6118324602662908,0.10319620925457018,1.4380491954567343
mu,0.06,0.06,0.4,0.24,0.4,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,12.040477178423236,6.082302904564315,0.8999325726141079,0.4344502074688797,0.6188197767145134,0.9284619157680026,164.20808455418336,1978.094605631172,170.46405534005274,3256.3197230069622,116.9245275911042,256.63634884035906,120.95862386071853,354.2904988627679,103.55065135029155,75.54087931621758,0.6306062922019116,0.6428462581743675,0.4357447213186088,0.9633003522449963,0.9683571850453635,0.6074632634060125,0.10285679916806165,1.5857754868069307
mu,0.07,0.07,0.4,0.24,0.4,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,12.971441908713693,5.151338174273859,0.9930290456431535,0.341353734439834,0.6666666666666665,0.9581253994658169,179.01376999531183,1963.2889201900434,171.1325928882006,3255.6511854588143,117.38604037593295,256.42558028280484,120.96042939097252,354.2898824299944,103.19985292080611,75.02423782001708,0.5764911432428287,0.5643997567362735,0.5441983437173428,1.0460530456186095,1.00855475372416,0.603040316161315,0.10251948372892734,1.734632026391395
mu,0.08,0.08,0.4,0.24,0.4,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,13.778278008298756,4.344502074688797,1.024061203319502,0.3103215767634855,0.7081339712918661,1.0111983866997034,181.12298113269478,1961.1797090526607,360.5164822539168,3066.267296093098,117.39166146912876,256.42300699436237,173.97571007396328,331.4893641958486,230.58577139582752,117.95088567782625,1.2730895326137284,1.0511553959921864,-0.2972295158123495,0.5023986143444263,0.40596566705245024,0.6395984171215304,0.1085110925452235,0.7854907093195094
mu,0.09,0.09,0.4,0.24,0.4,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,14.429953319502074,3.6928267634854772,1.0550933609958506,0.27928941908713695,0.7416267942583732,1.0479707326222099,184.84745390738175,1957.4552362779737,361.2460983136556,3065.5376800333593,117.43342191810687,256.4038847504406,173.9769703042774,331.4887027855584,230.66852883092204,117.79727778669627,1.2478858861994337,1.0171584249318248,-0.27547725768594133,0.5116939802817914,0.40792819750721093,0.6385356960468588,0.10845882911829698,0.8013553250815297
mu,0.1,0.1,0.4,0.24,0.4,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,14.9575,3.165280082987552,1.1171576763485478,0.21722510373443984,0.7687400318979266,1.0648304109058935,192.3901807358224,1949.912509449533,370.61597477758625,3056.167803569429,117.66346092947218,256.2984015958974,174.13604384680966,331.4051666828532,236.46238422399853,118.18388532707806,1.2290771978050854,0.9707682828651404,-0.26426990655368454,0.5191092500836734,0.40035537799641224,0.6380253424475406,0.10871839725855349,0.8136185438846503
mu,0.11,0.11,0.4,0.24,0.4,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,15.485046680497925,2.6377334024896264,1.1171576763485478,0.21722510373443984,0.79585326953748,1.0781376672891896,201.1915070858597,1941.111183099496,404.77567028338166,3022.0081080636323,117.89672328720452,256.1911851267597,177.18523885922409,329.78498662174934,259.9975089865385,122.21033992744452,1.2922886892814167,0.9707908663602635,-0.34630729611205685,0.4970444664942595,0.3635569695309334,0.6423249421204476,0.11000092132228154,0.7738209026313269
mu,0.12,0.12,0.4,0.24,0.4,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,15.950529045643153,2.1722510373443984,1.1792219917012448,0.15516078838174274,0.8197767145135567,1.0635860084339535,219.6534407570197,1922.6492494283355,415.95053222434973,3010.833246122665,118.39583352851902,255.96090971396504,177.3654086871959,329.688122430778,265.6164965663066,122.16602230989967,1.2092526101611636,0.8568415036174363,-0.2701741517976707,0.5280758737881504,0.3629380893884164,0.6385771287414581,0.1100759391090272,0.8269570738133238
mu,0.13,0.13,0.4,0.24,0.4,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,16.353947095435686,1.7688329875518671,1.1792219917012448,0.15516078838174274,0.8405103668261563,1.0547305875219637,235.02522904696966,1907.2774611383854,431.4120569185107,2995.371721428504,118.85343478446596,255.74874728617544,177.6712196204134,329.52341948532654,274.6979570974979,122.75405152166253,1.1688019971787782,0.7887721731494941,-0.23218816840693174,0.5447813181803667,0.35529885488455026,0.6367414927149001,0.11043892763763628,0.8555769090177567
mu,0.14,0.14,0.4,0.24,0.4,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,16.63323651452282,1.4895435684647302,1.1792219917012448,0.15516078838174274,0.8548644338118023,1.0628111634325403,239.4474010052582,1902.8552891800973,503.15760140582614,2923.626176941189,118.89652225170252,255.72871894834915,181.40861146892442,327.4807810477197,327.482395210989,131.23720683802938,1.3676590091858947,0.8726850169302616,-0.4971302260929074,0.475889463532381,0.29202197552396103,0.6508545121767032,0.11386772048725792,0.7311764067530653
mu,0.15,0.15,0.4,0.24,0.4,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,16.85046161825726,1.2723184647302905,1.2102541493775933,0.12412863070539419,0.8660287081339714,1.0750640645559673,240.11838581847792,1902.1843043668778,543.7756222552119,2883.0081560918024,118.898359121177,255.7278649205146,182.17909335423326,327.0527850597473,358.7785388555313,135.76125200520912,1.494173541241264,0.931164293411777,-0.6575212259209935,0.44157622370534,0.26399889244104596,0.6597915099017525,0.11606112490356778,0.6692663016701954
