scan_variable,scan_cut,muIsoCut,egmIsoCut,ACounts,A_Unc,BCounts,B_Unc,CCounts,C_Unc,DCounts,D_Unc,prediction,predictionUnc,closure,closureUnc,closureSignificance,tf_AC,tf_AC_unc,tf_BD,tf_BD_unc,tf_ratio
mu,0.0,0.0,0.1,0.005048520484994762,0.003571503223497658,1040.33959917635,191.9895020593904,0.6660902830760548,0.6608980106962666,12619.60751767665,1404.7838467406496,0.054911382714553925,0.05575382117164502,10.876727722064674,13.4598531778166,-0.892510490271545,0.007579333632792715,0.00923601943164963,0.08243834823857368,0.017767035440482505,0.09193941648197984
mu,0.01,0.01,0.1,6.890492481521569,4.380020654523763,1033.4541552153134,191.93953301192082,7.575493457459807,4.429694258860874,12612.698114502266,1404.7770181272224,0.6207177179969483,0.3870513125345968,0.09008321533787966,0.08021381518743523,1.4258922417227136,0.9095767186936585,0.7856060082203215,0.08193759541640283,0.017744604777767348,11.100847102862055
mu,0.02,0.02,0.1,10.749316843081763,5.385201161239757,1029.5953308537532,191.91396124884005,127.58841707978796,116.06180527657911,12492.685190879938,1399.9813392347696,10.515308477657886,9.834932550620985,0.9782303965135715,1.0379211321707145,0.020869802211017013,0.08424994281698496,0.08749262859374243,0.08241585496810493,0.017924714230703673,1.0222540656720704
mu,0.03,0.03,0.1,13.91288928737999,6.195043630062884,1026.431758409455,191.8895264160864,253.11204304945895,164.2151905828043,12367.161564910268,1395.1528461181201,21.007426648246494,14.380460253101797,1.5099255240463798,1.2330333701698823,-0.45309046512058737,0.054967314552715155,0.04325302838835998,0.08299655123143064,0.018122150787080647,0.6622843206995707
mu,0.04,0.04,0.1,13.942050949445276,6.195112265281314,1026.4025967473895,191.88952420022534,426.69036890083544,203.9965398362327,12193.583239058891,1389.893342880842,35.91693221431773,18.886798132524127,2.5761584392823345,1.773548385920046,-1.1055495465625425,0.032674866754926604,0.021326824718352864,0.08417563374312996,0.0184312587166069,0.3881748827058089
mu,0.05,0.05,0.1,13.947099478804413,6.195113294773087,1026.3975482180306,191.8895241669884,436.0946095313298,204.13222356955887,12184.178998428395,1389.8734216288133,36.736692564332145,18.9852335910991,2.6340023328980604,1.7949440770214684,-1.141166227317514,0.031981820398544566,0.02063785141532653,0.08424018954009317,0.01844924759177469,0.37965038508517573
mu,0.06,0.06,0.1,17.07390229116676,6.910193179751665,1023.2707454056682,191.8651040288119,479.92011488048377,206.89176041365818,12140.353493079241,1389.465326059839,40.45089905898353,19.57170407687008,2.3691654297395703,1.494453466911148,-1.1262885647929346,0.035576550683687716,0.02103667380376388,0.08428673398917061,0.018515430477905336,0.4220895626144286
mu,0.07,0.07,0.1,140.36161528458965,116.373140570967,899.9830324122452,152.6999052632917,498.4553216231229,207.1766016312388,12121.818286336602,1389.422883281461,37.00775917273491,17.14702831654417,0.2636601117598994,0.2504186943421207,0.8786379880921661,0.2815931723379526,0.2611620187177909,0.0742448872894492,0.015202255105560922,3.7927617997471095
mu,0.08,0.08,0.1,141.7176009926341,116.37689742728904,898.6270467042007,152.69704207667726,695.9452854330244,242.1007562320633,11924.328322526704,1383.764906579691,52.44700075348753,21.19767749908927,0.37008106534497087,0.33872163490754004,0.7546650206437444,0.20363325100256396,0.18160692665790149,0.07536081047068874,0.015506803433738961,2.7021106823388825
mu,0.09,0.09,0.1,145.44207376478565,116.41902188094231,894.9025739320493,152.66492805504797,711.4729371719383,242.32488929506965,11908.800670787788,1383.7256739967534,53.46457467543153,21.292659072475434,0.3676004700118374,0.32865376725666234,0.7771639738936889,0.20442390169176225,0.17782822646833227,0.07514632234354544,0.015510612301611318,2.7203447263486855
mu,0.1,0.1,0.1,145.53701267728752,116.41905852876923,894.8076350195474,152.66490010818893,1076.1003960262533,314.8864534106013,11544.173211933474,1369.0378425405672,83.41029129885851,29.93461394809493,0.5731208148666055,0.502480773004683,0.5168355179269744,0.13524482772677737,0.11519726643676025,0.07751162587326431,0.01610532854732673,1.7448328067315988
mu,0.11,0.11,0.1,151.7565203367152,116.49954923303466,888.5881273601196,152.60348600955365,1118.963877719242,316.6696455751184,11501.309730240486,1368.6264751278804,86.45085125147472,30.41110070569604,0.5696681174532653,0.4810468519498041,0.5423905486764141,0.13562235864667677,0.11096312451844415,0.07725973373482393,0.016142293025658568,1.755408051394132
mu,0.12,0.12,0.1,169.55496498401544,117.00275307504248,870.7896827128194,152.21801695800974,1163.5186493566268,318.4561896372936,11456.7549586031,1368.2118798385482,88.43516677843307,30.600479710422494,0.5215722629341475,0.4026291090281961,0.6707544744872473,0.14572603978266413,0.10818057841244647,0.07600666033787573,0.016090941673975557,1.9172798690912323
mu,0.13,0.13,0.1,179.97139899115746,117.27351893710451,860.3732487056775,152.0095084850842,1204.763193837053,318.89640695264126,11415.510414122673,1368.1093430286678,90.80154854225813,30.878222133559554,0.5045332150066771,0.37084231511623816,0.7352969118383473,0.14938321481914313,0.10506609080276534,0.07536879364073538,0.01609057653775706,1.9820300631481034
mu,0.14,0.14,0.1,183.69327051423448,117.31532141216024,856.6513771826005,151.97724920437875,1277.209038764651,320.9943582842537,11343.064569195076,1367.618629150436,96.45743223389275,31.871084337200454,0.5251005219944528,0.37757827978917285,0.7175919318359847,0.14382396689887764,0.0987092830928182,0.07552204009391353,0.016199538250902,1.9043972689300894
mu,0.15,0.15,0.1,184.36165407457642,117.31718301012314,855.9829936222584,151.9758121687052,1317.8322621223278,321.43042140429105,11302.441345837398,1367.5162072332078,99.80516335427937,32.44097580086045,0.5413553260587857,0.38682668078214805,0.6946808081054003,0.13989766328657618,0.09533831204052663,0.07573434512336667,0.016271724645095884,1.8472155936476553
mu,0.16,0.16,0.1,184.39601821705324,117.31718669216721,855.9486294797816,151.97580932636444,1444.2835475486393,341.7921167240989,11175.990060411088,1362.5697199757883,110.61503423160546,35.39564154989003,0.5998775640664871,0.4272098362287093,0.602094695086607,0.12767300335867277,0.08666590658475698,0.07658817025185304,0.016495680256823565,1.667006835896876
mu,0.17,0.17,0.1,184.40366799041595,117.31718677536965,855.9409797064191,151.9758092621366,1500.5701685984748,343.5917621430342,11119.703439361252,1362.1170264838047,115.50663263931297,36.33593914425906,0.6263792575173517,0.44455602462934435,0.5609804197591678,0.12288906700221029,0.08309124534868537,0.07697516254584455,0.016604288741378512,1.5964768756288177
mu,0.18,0.18,0.1,184.5303697912491,117.31722679583,855.8142779055859,151.97577836847586,1542.8437422956786,345.2260937750996,11077.429865664048,1361.7037258619891,119.19621421631777,37.06866612179491,0.645943615412244,0.45716477172060904,0.5310242872625207,0.11960405628419415,0.08061175912482244,0.0772574765341819,0.016685748548391277,1.5481227403444426
mu,0.19,0.19,0.1,225.35286489151045,122.017234731344,814.9917828053244,148.2287534261973,1579.98109683387,345.56757914728405,11040.292511125857,1361.617105170144,116.63383099765666,36.161558773090526,0.5175608974565582,0.3229242847040868,0.854286464067983,0.14263010193165976,0.08328969718871357,0.0738197635600702,0.01622190780568557,1.9321397828048548
mu,0.2,0.2,0.1,232.17008430028505,122.09579211039417,808.1745633965497,148.16405253199477,1591.8457002158034,345.6606264942305,11028.427907743924,1361.5934871103245,116.6520935285107,36.144306293526995,0.5024423964012296,0.30668125630221493,0.9072089165562643,0.1458496161209659,0.08298208021492025,0.0732810306380175,0.01619716887551568,1.9902779048156634
mu,0.21,0.21,0.1,238.29205179433325,122.17250793064568,802.0525959025017,148.10080087462262,1723.9981113569945,364.73438941573426,10896.275496602731,1356.6086090052536,126.89998164749055,38.980434082096636,0.5325397162512843,0.3182869139574741,0.8686192850576486,0.13822059909727433,0.07666210627590635,0.07360795862334499,0.016392809038558963,1.8777942179398688
mu,0.22,0.22,0.1,249.40342974312546,122.43362832915855,790.9412179537095,147.88500792144472,2350.568742405914,687.2151752809607,10269.704865553811,1225.215652737589,181.03360596450736,66.43404952034858,0.7258665454238701,0.4448894218222461,0.4908227546129996,0.1061034400924815,0.060624328889489446,0.0770169375175181,0.017081878762952127,1.3776637128468974
