scan_variable,scan_cut,muIsoCut,egmIsoCut,ACounts,A_Unc,BCounts,B_Unc,CCounts,C_Unc,DCounts,D_Unc,prediction,predictionUnc,closure,closureUnc,closureSignificance,tf_AC,tf_AC_unc,tf_BD,tf_BD_unc,tf_ratio
mu,0.0,0.0,0.1,0.002447267607303189,0.002447267607303189,454.2368526556654,172.3079008351128,2.535469273075912e-09,1.7928475164821036e-09,7637.292487198383,1326.9897294621358,1.507999837033391e-10,1.2381078224409015e-10,6.161973592643425e-08,7.972756888539129e-08,0.9999999383802629,965212.8831891854,1182139.5284870437,0.05947616297490982,0.02481549852798856,16228566.788956495
mu,0.01,0.01,0.1,0.002447270142772462,0.0024472676073038456,454.23685265313,172.30790083511283,2.914711127294242e-08,2.0548560105831406e-08,7637.292487171771,1326.989729462136,1.7335583403137188e-09,1.4201452229785197e-09,7.083641115115336e-07,9.157096098729145e-07,1.0000003276755929,83962.69942003787,102730.5333267298,0.05947616297478508,0.02481549852806601,1411703.3651890734
mu,0.02,0.02,0.1,3.06343102097006,3.0609847253235913,451.1758689023027,172.28071008880687,3.0658783215276784,3.0609857036227863,7634.226608879391,1326.9861990482473,0.18119062827596985,0.19622473082496208,0.05914630590199951,0.08715276159030436,0.9396768066927905,0.9992017620071761,1.4113930672209378,0.059099093073493356,0.02479498861021446,16.90722666022315
mu,0.03,0.03,0.1,3.066032280186425,3.0609858306076614,451.1732676430863,172.28071006916883,4.387653882507695,3.2004966447102414,7632.90483331841,1326.9858699018691,0.2593497734724464,0.21824023237040285,0.08458807663195153,0.11044547713028881,0.9145994521513401,0.6987862676246656,0.864006878022501,0.05910898635519061,0.024799993884536332,11.82199713975136
mu,0.04,0.04,0.1,3.0660323017271285,3.0609858306076614,451.1732676215456,172.2807100691688,126.53942428918545,116.05982785987635,7510.753062911733,1321.904632889653,7.601262491429605,7.669411142945738,2.479185391213176,3.518978230010601,-0.5492127072987082,0.024229858156460442,0.03284853749513178,0.06007031037266414,0.02525714216600585,0.4033582980700994
mu,0.05,0.05,0.1,3.066032306798067,3.0609858306076614,451.1732676164746,172.28071006916883,126.53942429679186,116.05982785987635,7510.753062904126,1321.9046328896532,7.6012624918087885,7.669411142959948,2.4791853872365013,3.5189782214014,-0.5492127067296627,0.02422985819507794,0.032848537517119664,0.060070310372049816,0.02525714216598618,0.403358298717096
mu,0.06,0.06,0.1,3.066032309333536,3.0609858306076614,451.1732676139392,172.28071006916883,159.25584496808102,120.58294997182304,7478.036642232835,1321.499714065079,9.608401696653637,8.322992781357064,3.1338227152414504,4.142160314257329,-0.7377483034148333,0.019252243520154932,0.024123066244872475,0.06033311806282154,0.025385751563059313,0.31909909744940806
mu,0.07,0.07,0.1,119.00089629805167,115.97526599382195,335.23840362522117,127.43527915712521,169.6696777261485,120.84569431259315,7467.622809474769,1321.4757130814398,7.616853897916728,6.295335948847994,0.06400669351968095,0.08179092505212571,0.9590002352420526,0.7013680811613396,0.846619282588948,0.044892251815380584,0.018823531005329457,15.623366010814435
mu,0.08,0.08,0.1,119.00089630058714,115.97526599382195,335.23840362268567,127.43527915712521,177.0225267384596,121.06917948998704,7460.269960462458,1321.4552568572324,7.954772358583206,6.381806271974634,0.06684632306037477,0.08438058632492186,0.9560519631008473,0.6722358927595921,0.8003678895727238,0.04493649766018715,0.01884534047677041,14.95968595156404
mu,0.09,0.09,0.1,119.00089630058714,115.97526599382195,335.23840362268567,127.43527915712521,191.82056241509954,121.5149518602292,7445.471924785818,1321.4143402326156,8.63687618134341,6.562321327188491,0.07257824478504198,0.08968909128660077,0.9500971142251402,0.620376120277811,0.7211044141226329,0.04502580991631761,0.018889391994490672,13.778233449455023
